_id,conversation_id,created_at,scheduled_at,completed_at,status,type,duration_minutes,rating
1,999999,2024-01-03 09:54:58,2024-01-20 09:54:58,,no_show,video,35,
2,5,2024-07-09 08:11:22,2024-08-02 08:11:22,,cancelled,in_person,32,
3,10,2024-01-08 13:27:09,2024-01-28 13:27:09,,no_show,phone,28,
4,11,2024-01-01 18:45:43,2024-01-12 18:45:43,2024-01-12 19:36:43,completed,video,40,3
5,18,2025-01-11 05:01:43,2025-01-29 05:01:43,2025-01-29 06:23:43,completed,Video,30,4
6,33,2025-01-13 03:04:19,2025-02-06 03:04:19,2025-02-06 04:00:19,completed,Video,33,4
7,35,2024-04-05 21:00:34,2024-04-27 21:00:34,2024-04-27 22:11:34,completed,phone,50,4
8,36,2024-11-30 05:47:56,2024-12-15 05:47:56,,cancelled,Video,46,
9,37,2024-02-08 18:14:29,2024-02-27 18:14:29,,no_show,Video,27,
10,42,2024-10-02 10:49:26,2024-10-28 10:49:26,,cancelled,Video,34,
11,45,2024-12-04 12:12:14,2024-12-29 12:12:14,,no_show,in_person,31,
12,47,2024-04-15 09:27:32,2024-04-24 09:27:32,,cancelled,video,52,
13,50,2024-12-05 08:16:20,2025-01-01 08:16:20,2025-01-01 08:56:20,completed,phone,54,5
14,59,2024-12-23 11:08:11,2025-01-21 11:08:11,,no_show,Video,47,
15,60,2024-08-17 20:25:26,2024-08-28 20:25:26,2024-08-28 21:50:26,completed,video,39,3
16,62,2024-02-17 06:36:05,2024-03-13 06:36:05,2024-03-13 07:30:05,completed,phone,48,5
17,65,2025-01-19 17:08:52,2025-02-11 17:08:52,2025-02-11 17:46:52,completed,video,32,4
18,66,2024-04-30 05:13:27,2024-05-24 05:13:27,,cancelled,video,53,
19,69,2024-04-04 00:14:42,2024-04-22 00:14:42,2024-04-22 01:02:42,completed,Video,39,4
20,71,2024-12-10 17:19:39,2025-01-01 17:19:39,2025-01-01 18:44:39,completed,Video,33,3
21,72,2024-09-01 22:59:02,2024-09-07 22:59:02,,cancelled,in_person,31,
22,73,2024-07-18 11:22:21,2024-08-13 11:22:21,2024-08-13 12:10:21,completed,in_person,49,5
23,75,2024-12-01 19:39:25,2024-12-14 19:39:25,2024-12-14 20:34:25,completed,Video,35,5
24,76,2024-04-20 01:13:18,2024-05-08 01:13:18,2024-05-08 01:45:18,completed,video,50,3
25,78,2024-06-04 14:48:50,2024-07-03 14:48:50,2024-07-03 16:07:50,completed,video,35,4
26,82,2024-01-22 17:24:39,2024-02-08 17:24:39,,cancelled,phone,51,
27,83,2024-10-29 11:29:24,2024-11-01 11:29:24,2024-11-01 12:26:24,completed,Video,36,3
28,87,2025-01-25 20:25:57,2025-02-02 20:25:57,,no_show,video,26,
29,89,2024-04-27 14:21:04,2024-05-10 14:21:04,2024-05-10 15:39:04,completed,Video,53,3
30,92,2025-01-10 17:39:14,2025-01-20 17:39:14,,cancelled,phone,49,
31,96,2024-02-04 21:32:23,2024-03-04 21:32:23,2024-03-04 22:06:23,completed,video,60,4
32,97,2024-06-28 23:16:53,2024-07-08 23:16:53,2024-07-08 23:51:53,completed,video,44,4
33,103,2024-10-17 17:52:11,2024-10-30 17:52:11,,cancelled,phone,46,
34,104,2024-05-15 04:50:54,2024-06-05 04:50:54,2024-06-05 05:36:54,completed,phone,32,5
35,107,2024-08-17 05:05:30,2024-09-13 05:05:30,,cancelled,Video,39,
36,108,2024-05-29 08:39:13,2024-05-30 08:39:13,2024-05-30 09:49:13,completed,in_person,54,3
37,109,2024-03-15 17:24:43,2024-03-26 17:24:43,,no_show,Video,29,
38,112,2025-01-20 09:22:52,2025-01-26 09:22:52,,no_show,phone,29,
39,117,2024-04-01 14:19:40,2024-04-29 14:19:40,,cancelled,in_person,24,
40,120,2024-05-02 14:46:47,2024-05-17 14:46:47,,cancelled,phone,21,
41,123,2024-03-27 02:50:59,2024-04-08 02:50:59,2024-04-08 04:07:59,completed,video,47,4
42,125,2024-07-27 15:10:34,2024-08-14 15:10:34,2024-08-14 16:39:34,completed,Video,32,4
43,128,2025-01-18 08:32:03,2025-02-02 08:32:03,2025-02-02 09:22:03,completed,phone,36,4
44,137,2024-01-15 01:18:45,2024-02-11 01:18:45,,cancelled,video,42,
45,142,2024-07-10 23:48:52,2024-07-15 23:48:52,2024-07-16 00:46:52,completed,in_person,55,4
46,143,2024-11-16 20:05:55,2024-12-13 20:05:55,2024-12-13 21:13:55,completed,in_person,30,5
47,145,2024-07-14 02:53:28,2024-07-25 02:53:28,,cancelled,in_person,34,
48,147,2024-07-17 17:02:40,2024-08-10 17:02:40,,no_show,video,34,
49,149,2024-06-08 21:31:35,2024-06-10 21:31:35,2024-06-10 22:45:35,completed,Video,43,5
50,150,2024-10-04 06:11:06,2024-10-29 06:11:06,2024-10-29 06:57:06,completed,in_person,29,4
51,152,2024-09-04 08:00:51,2024-09-12 08:00:51,2024-09-12 08:48:51,completed,phone,23,4
52,157,2024-04-05 08:11:22,2024-04-26 08:11:22,2024-04-26 08:57:22,completed,Video,58,4
53,161,2024-08-05 22:43:50,2024-08-17 22:43:50,,cancelled,video,32,
54,162,2024-03-06 15:04:09,2024-03-07 15:04:09,2024-03-07 16:14:09,completed,phone,26,4
55,163,2024-10-25 05:05:26,2024-11-08 05:05:26,2024-11-08 06:28:26,completed,Video,57,5
56,164,2024-10-25 18:38:33,2024-11-11 18:38:33,2024-11-11 19:09:33,completed,phone,23,5
57,171,2024-02-14 08:46:03,2024-02-25 08:46:03,2024-02-25 09:24:03,completed,Video,49,3
58,177,2024-08-12 00:45:40,2024-09-04 00:45:40,2024-09-04 01:21:40,completed,video,50,4
59,178,2024-01-10 14:01:04,2024-01-19 14:01:04,,cancelled,video,21,
60,180,2024-01-14 09:52:27,2024-01-27 09:52:27,2024-01-27 11:18:27,completed,phone,53,5
61,186,2024-05-15 12:49:42,2024-05-28 12:49:42,2024-05-28 14:19:42,completed,video,48,3
62,187,2024-02-08 12:13:55,2024-02-21 12:13:55,2024-02-21 12:46:55,completed,phone,50,4
63,190,2024-07-28 05:07:49,2024-08-15 05:07:49,2024-08-15 06:04:49,completed,Video,52,4
64,196,2024-08-11 21:04:32,2024-08-21 21:04:32,2024-08-21 21:47:32,completed,Video,43,3
65,198,2024-10-18 01:12:18,2024-10-31 01:12:18,2024-10-31 02:27:18,completed,phone,50,4
66,203,2024-06-15 21:26:35,2024-07-03 21:26:35,,no_show,Video,26,
67,204,2024-04-26 13:35:41,2024-05-09 13:35:41,2024-05-09 14:09:41,completed,in_person,40,3
68,209,2024-12-08 13:09:37,2024-12-21 13:09:37,,cancelled,Video,59,
69,213,2024-11-14 09:34:15,2024-11-15 09:34:15,2024-11-15 10:43:15,completed,phone,35,5
70,218,2024-11-12 14:32:23,2024-12-03 14:32:23,2024-12-03 15:24:23,completed,Video,31,5
71,224,2024-12-30 22:49:48,2025-01-02 22:49:48,2025-01-03 00:10:48,completed,in_person,39,3
72,230,2024-09-09 11:26:00,2024-09-24 11:26:00,2024-09-24 12:44:00,completed,video,56,4
73,233,2024-12-04 09:51:10,2024-12-14 09:51:10,2024-12-14 11:11:10,completed,in_person,41,4
74,239,2024-02-07 12:09:09,2024-02-14 12:09:09,,cancelled,phone,21,
75,241,2024-09-01 17:25:46,2024-09-30 17:25:46,2024-09-30 18:52:46,completed,video,23,4
76,242,2024-04-21 05:22:38,2024-05-15 05:22:38,2024-05-15 06:43:38,completed,video,51,5
77,244,2024-09-11 04:13:58,2024-10-01 04:13:58,2024-10-01 05:39:58,completed,Video,22,5
78,248,2024-06-09 15:50:06,2024-07-01 15:50:06,2024-07-01 17:10:06,completed,in_person,49,4
79,251,2024-01-21 00:31:25,2024-02-20 00:31:25,2024-02-20 01:07:25,completed,in_person,40,4
80,254,2024-04-03 03:51:16,2024-04-13 03:51:16,,cancelled,video,22,
81,263,2024-07-14 00:09:51,2024-08-09 00:09:51,2024-08-09 00:49:51,completed,video,55,4
82,266,2025-01-20 19:39:04,2025-01-24 19:39:04,2025-01-24 20:40:04,completed,phone,30,5
83,270,2024-08-11 08:03:04,2024-08-24 08:03:04,2024-08-24 09:06:04,completed,phone,26,5
84,280,2025-01-14 22:52:16,2025-02-12 22:52:16,2025-02-12 23:29:16,completed,phone,43,4
85,281,2024-01-23 11:54:03,2024-02-08 11:54:03,2024-02-08 13:16:03,completed,video,47,3
86,284,2024-11-26 06:17:20,2024-12-19 06:17:20,,no_show,video,37,
87,286,2024-02-05 10:34:39,2024-02-07 10:34:39,,cancelled,phone,22,
88,289,2024-09-11 01:45:30,2024-09-19 01:45:30,,cancelled,video,23,
89,298,2024-03-20 15:07:29,2024-04-13 15:07:29,2024-04-13 16:19:29,completed,phone,39,4
90,299,2024-02-02 20:15:09,2024-03-03 20:15:09,2024-03-03 21:02:09,completed,phone,57,3
91,301,2024-01-27 05:40:04,2024-02-20 05:40:04,2024-02-20 07:07:04,completed,phone,27,4
92,303,2024-07-30 17:08:23,2024-08-19 17:08:23,2024-08-19 17:50:23,completed,in_person,46,4
93,307,2024-09-09 11:38:16,2024-09-21 11:38:16,2024-09-21 13:01:16,completed,in_person,55,4
94,311,2025-01-10 10:17:17,2025-02-01 10:17:17,2025-02-01 10:51:17,completed,video,40,4
95,312,2025-01-28 11:35:14,2025-02-16 11:35:14,,cancelled,Video,42,
96,318,2024-05-11 11:09:18,2024-05-22 11:09:18,2024-05-22 12:04:18,completed,video,60,4
97,319,2024-07-15 03:45:39,2024-07-25 03:45:39,,no_show,video,36,
98,326,2025-01-23 05:14:08,2025-01-27 05:14:08,2025-01-27 06:09:08,completed,in_person,49,4
99,330,2024-05-05 21:38:04,2024-05-10 21:38:04,,cancelled,in_person,26,
100,334,2024-11-20 18:49:53,2024-12-18 18:49:53,,cancelled,phone,31,
101,336,2024-08-14 13:48:45,2024-09-02 13:48:45,,cancelled,video,38,
