_id,student_id,professional_id,created_at,first_response_at,status,message_count
1,352,335,2024-08-11 08:51:30,2024-08-16 08:51:30,replied,13
2,327,74,2024-09-17 00:21:03,,open,10
3,457,432,2024-01-03 09:54:58,2024-01-04 21:54:58,replied,9
4,1406,441,2025-01-05 07:25:09,,open,14
5,1405,280,2024-07-09 08:11:22,2024-07-11 02:11:22,replied,2
6,277,146,2024-05-25 12:21:10,,open,8
7,239,345,2024-01-10 21:23:39,2024-01-11 11:23:39,replied,7
8,532,295,2024-01-17 04:14:26,2024-01-18 05:14:26,replied,5
9,1366,335,2024-02-29 18:57:23,2024-03-03 11:57:23,replied,13
10,1322,38,2024-01-08 13:27:09,2024-01-10 07:27:09,replied,8
11,916,246,2024-01-01 18:45:43,2024-01-04 04:45:43,replied,4
12,731,162,2024-03-25 23:06:10,2024-03-26 12:06:10,replied,1
13,884,437,2024-08-20 18:16:06,2024-08-20 22:16:06,replied,3
14,1163,404,2024-04-23 20:30:15,,open,2
15,481,204,2024-09-10 17:28:45,,open,6
16,853,226,2024-08-02 21:09:22,2024-08-03 08:09:22,replied,8
17,20,273,2024-09-26 21:25:55,,open,15
18,803,127,2025-01-11 05:01:43,2025-01-11 06:01:43,replied,11
19,804,87,2024-01-17 02:23:04,2024-01-17 02:23:04,replied,7
20,1328,488,2024-06-20 01:51:43,,open,3
21,566,477,2025-01-21 16:15:55,2025-01-22 05:15:55,replied,10
22,1140,335,2024-11-30 13:12:44,,open,12
23,142,133,2024-05-30 13:28:43,,open,7
24,997,289,2024-03-24 19:59:30,,open,15
25,976,371,2024-12-14 22:59:15,,open,15
26,820,467,2024-05-15 21:20:46,2024-05-16 14:20:46,replied,11
27,554,356,2024-09-08 05:56:05,,open,5
28,490,84,2024-05-28 00:31:55,2024-06-02 08:31:55,replied,9
29,1079,23,2024-09-14 15:05:57,2024-09-15 22:05:57,replied,13
30,708,280,2024-09-22 12:30:29,2024-09-24 13:30:29,replied,1
31,773,35,2024-04-24 06:43:20,,open,3
32,810,463,2024-09-01 01:55:25,,open,3
33,480,59,2025-01-13 03:04:19,2025-01-14 06:04:19,replied,13
34,467,74,2024-01-13 02:39:48,,open,4
35,452,114,2024-04-05 21:00:34,2024-04-07 00:00:34,replied,5
36,11,157,2024-11-30 05:47:56,2024-11-30 10:47:56,replied,14
37,4,52,2024-02-08 18:14:29,2024-02-09 10:14:29,replied,6
38,1361,345,2024-08-24 00:27:08,,open,13
39,877,434,2024-04-30 10:05:57,,open,12
40,435,33,2024-04-20 19:04:53,,open,4
41,676,143,2024-03-03 16:41:29,2024-03-03 20:41:29,replied,1
42,734,18,2024-10-02 10:49:26,2024-10-03 22:49:26,replied,11
43,995,280,2024-10-27 00:03:03,,open,15
44,159,44,2024-07-30 22:15:22,2024-07-31 03:15:22,replied,3
45,881,23,2024-12-04 12:12:14,,open,6
46,1239,395,2024-04-18 02:26:07,,open,4
47,403,484,2024-04-15 09:27:32,2024-04-15 13:27:32,replied,4
48,477,74,2024-08-26 21:32:21,,open,15
49,978,420,2024-12-24 04:32:26,,open,7
50,1208,450,2024-12-05 08:16:20,2024-12-06 07:16:20,replied,9
51,689,26,2024-09-16 07:35:53,,open,12
52,567,26,2024-12-29 19:12:54,,open,8
53,656,275,2024-11-14 15:46:30,,open,15
54,873,143,2024-01-21 12:32:38,,open,7
55,140,25,2024-04-19 04:42:19,,open,5
56,1213,280,2024-07-25 11:14:34,,open,3
57,969,11,2024-08-16 20:18:48,,open,7
58,211,362,2024-11-08 23:23:08,,open,8
59,1243,112,2024-12-23 11:08:11,,open,2
60,80,26,2024-08-17 20:25:26,2024-08-19 13:25:26,replied,10
61,156,144,2024-08-31 16:44:47,,open,6
62,1338,484,2024-02-17 06:36:05,2024-02-18 08:36:05,replied,10
63,1046,89,2025-01-31 18:23:28,,open,1
64,1079,327,2024-06-08 06:40:42,,open,9
65,1140,85,2025-01-19 17:08:52,2025-01-21 17:08:52,replied,15
66,1047,137,2024-04-30 05:13:27,2024-05-01 06:13:27,replied,5
67,1106,26,2024-01-06 00:15:05,,open,10
68,1064,159,2024-06-04 21:19:00,2024-06-07 20:19:00,replied,1
69,256,371,2024-04-04 00:14:42,2024-04-04 05:14:42,replied,4
70,328,74,2024-03-21 11:22:29,,open,14
71,783,381,2024-12-10 17:19:39,2024-12-13 17:19:39,replied,15
72,203,33,2024-09-01 22:59:02,,open,3
73,1263,186,2024-07-18 11:22:21,2024-07-18 20:22:21,replied,10
74,1056,420,2024-12-07 01:58:25,,open,10
75,205,33,2024-12-01 19:39:25,2024-12-02 06:39:25,replied,1
76,304,345,2024-04-20 01:13:18,,open,11
77,386,26,2024-05-12 15:29:09,,open,12
78,855,210,2024-06-04 14:48:50,2024-06-05 05:48:50,replied,5
79,460,132,2024-03-18 16:30:07,,open,8
80,580,143,2024-08-13 17:45:07,,open,13
81,174,240,2024-12-26 08:54:36,,open,7
82,249,38,2024-01-22 17:24:39,2024-01-23 13:24:39,replied,2
83,881,371,2024-10-29 11:29:24,2024-10-30 19:29:24,replied,5
84,48,38,2024-12-11 05:41:46,2024-12-11 08:41:46,replied,15
85,564,85,2024-04-18 04:48:21,2024-04-18 13:48:21,replied,12
86,714,150,2024-08-03 01:51:55,,open,6
87,778,297,2025-01-25 20:25:57,2025-01-25 21:25:57,replied,15
88,1084,26,2024-10-30 09:45:54,,open,3
89,1024,143,2024-04-27 14:21:04,2024-04-29 12:21:04,replied,12
90,880,62,2024-09-13 12:50:38,,open,13
91,234,280,2024-08-13 04:38:10,,open,2
92,1419,78,2025-01-10 17:39:14,2025-01-13 18:39:14,replied,8
93,951,434,2024-05-20 02:25:30,,open,15
94,785,107,2024-07-24 08:19:23,,open,10
95,1481,74,2024-09-18 08:57:54,,open,7
96,104,157,2024-02-04 21:32:23,2024-02-05 06:32:23,replied,12
97,265,290,2024-06-28 23:16:53,2024-06-29 23:16:53,replied,2
98,775,290,2025-01-05 00:58:55,2025-01-06 00:58:55,replied,4
99,1189,144,2024-07-05 18:51:50,,open,3
100,1119,38,2024-10-25 07:50:04,,open,7
101,1429,337,2024-02-19 23:56:31,2024-02-20 17:56:31,replied,5
102,187,290,2024-01-30 01:31:37,,open,2
103,689,85,2024-10-17 17:52:11,2024-10-17 18:52:11,replied,14
104,43,504,2024-05-15 04:50:54,2024-05-15 09:50:54,replied,12
105,699,498,2024-10-20 07:30:49,2024-10-23 12:30:49,replied,11
106,900,362,2024-06-04 03:19:10,2024-06-06 01:19:10,replied,8
107,684,279,2024-08-17 05:05:30,2024-08-18 17:05:30,replied,3
108,678,104,2024-05-29 08:39:13,2024-05-30 09:39:13,replied,1
109,982,280,2024-03-15 17:24:43,2024-03-16 15:24:43,replied,13
110,234,159,2024-01-05 01:36:41,2024-01-05 16:36:41,replied,7
111,888,267,2024-02-25 21:31:37,2024-02-29 05:31:37,replied,11
112,1124,63,2025-01-20 09:22:52,2025-01-22 19:22:52,replied,4
113,894,311,2025-01-02 23:01:14,2025-01-05 11:01:14,replied,6
114,965,259,2024-04-17 02:08:56,,open,8
115,670,356,2024-10-19 03:21:06,,open,10
116,128,17,2024-04-08 19:02:16,,open,5
117,165,381,2024-04-01 14:19:40,2024-04-01 15:19:40,replied,1
118,944,432,2024-09-14 00:47:31,2024-09-16 16:47:31,replied,5
119,1429,106,2024-07-26 06:05:50,,open,2
120,1354,69,2024-05-02 14:46:47,,open,2
121,834,345,2024-07-22 11:59:32,,open,9
122,495,75,2024-11-06 01:59:37,,open,9
123,1074,417,2024-03-27 02:50:59,2024-03-27 05:50:59,replied,15
124,1420,38,2024-08-12 07:39:52,2024-08-16 03:39:52,replied,6
125,657,290,2024-07-27 15:10:34,2024-07-28 17:10:34,replied,13
126,89,126,2024-04-18 04:31:41,2024-04-19 19:31:41,replied,14
127,1130,280,2024-09-03 00:21:36,,open,1
128,377,280,2025-01-18 08:32:03,2025-01-20 08:32:03,replied,10
129,1402,275,2024-01-28 11:11:48,2024-01-29 11:11:48,replied,2
130,1472,90,2024-11-19 07:16:45,,open,10
131,1440,347,2024-03-03 14:22:17,,open,8
132,1465,74,2024-04-10 13:23:40,2024-04-12 18:23:40,replied,1
133,170,74,2024-01-28 15:38:01,,open,4
134,1013,280,2024-09-23 01:16:35,,open,13
135,1317,340,2024-06-25 21:39:48,2024-06-26 06:39:48,replied,1
136,39,27,2024-06-01 08:57:13,,open,14
137,595,38,2024-01-15 01:18:45,2024-01-15 23:18:45,replied,1
138,608,406,2024-10-20 00:02:09,,open,7
139,1079,26,2024-11-27 12:45:16,,open,2
140,684,336,2024-04-01 15:32:26,,open,15
141,580,133,2024-09-27 05:49:26,2024-09-27 22:49:26,replied,15
142,87,453,2024-07-10 23:48:52,2024-07-11 11:48:52,replied,1
143,362,200,2024-11-16 20:05:55,2024-11-16 20:05:55,replied,15
144,1244,33,2024-02-05 13:23:44,,open,1
145,1355,77,2024-07-14 02:53:28,2024-07-14 02:53:28,replied,3
146,685,280,2024-05-20 06:30:23,2024-05-21 05:30:23,replied,6
147,556,253,2024-07-17 17:02:40,2024-07-17 22:02:40,replied,7
148,746,107,2024-04-05 01:15:38,2024-04-06 04:15:38,replied,2
149,403,477,2024-06-08 21:31:35,2024-06-08 22:31:35,replied,12
150,1254,432,2024-10-04 06:11:06,,open,14
151,352,278,2024-12-10 12:13:08,,open,6
152,1199,267,2024-09-04 08:00:51,2024-09-05 13:00:51,replied,15
153,429,33,2024-09-12 15:57:41,2024-09-12 19:57:41,replied,6
154,1395,280,2024-11-15 02:29:53,,open,10
155,756,133,2024-08-07 07:32:56,2024-08-10 03:32:56,replied,3
156,1305,146,2024-06-28 01:30:04,,open,9
157,335,38,2024-04-05 08:11:22,2024-04-06 13:11:22,replied,14
158,1215,105,2024-04-20 06:20:57,2024-04-21 19:20:57,replied,4
159,1075,317,2024-12-07 23:21:56,,open,8
160,1477,434,2024-03-29 17:33:45,2024-04-01 15:33:45,replied,14
161,48,292,2024-08-05 22:43:50,2024-08-06 15:43:50,replied,5
162,1271,467,2024-03-06 15:04:09,2024-03-07 02:04:09,replied,14
163,956,2,2024-10-25 05:05:26,2024-10-25 12:05:26,replied,14
164,601,72,2024-10-25 18:38:33,2024-10-26 03:38:33,replied,4
165,329,280,2024-10-21 15:10:02,2024-10-23 05:10:02,replied,7
166,830,18,2024-02-10 14:11:25,,open,1
167,846,335,2024-09-27 03:32:47,,open,13
168,1382,125,2024-09-14 03:33:47,,open,10
169,346,281,2024-01-22 05:45:01,2024-01-23 12:45:01,replied,14
170,970,133,2024-12-03 03:45:47,,open,13
171,1123,38,2024-02-14 08:46:03,,open,9
172,609,33,2024-08-28 05:52:07,,open,10
173,1106,392,2024-07-26 00:37:43,,open,8
174,1146,444,2024-07-08 00:52:17,,open,5
175,1233,280,2024-08-03 03:03:10,,open,13
176,849,33,2024-08-27 18:34:34,,open,1
177,962,145,2024-08-12 00:45:40,2024-08-12 17:45:40,replied,5
178,1208,356,2024-01-10 14:01:04,2024-01-10 18:01:04,replied,10
179,1031,1,2024-09-02 07:40:33,,open,8
180,718,327,2024-01-14 09:52:27,2024-01-14 23:52:27,replied,8
181,54,75,2024-10-05 15:05:36,,open,14
182,870,16,2024-06-18 04:52:42,2024-06-19 05:52:42,replied,10
183,1455,407,2024-03-02 18:51:41,2024-03-09 05:51:41,replied,10
184,862,267,2024-09-02 21:52:43,,open,5
185,1182,227,2024-08-10 11:42:13,,open,3
186,362,33,2024-05-15 12:49:42,2024-05-17 02:49:42,replied,10
187,1024,137,2024-02-08 12:13:55,2024-02-09 18:13:55,replied,11
188,57,143,2024-05-23 02:46:16,,open,14
