_id,type,created_at,country,school_id,fos,acquisition_channel,active,last_seen_at
1,professional,2024-01-06 01:08:44,FR,,,Ads,True,2024-04-07 01:08:44
2,professional,2024-06-16 05:44:21,FR,,,organic,True,2024-09-26 05:44:21
3,professional,2024-09-15 03:47:57,FR,,,organic,True,2025-03-25 03:47:57
4,student,2024-04-06 22:55:41,FR,7,engineering,ads,True,2024-09-18 22:55:41
5,student,2024-10-07 21:21:55,FR,10,finance,ads,False,2024-12-09 21:21:55
6,student,2024-03-02 23:25:48,FR,2,finance,ads,True,2024-07-01 23:25:48
7,student,2024-10-10 08:57:53,FR,7,finance,organic,True,2025-04-04 08:57:53
8,professional,2024-02-25 11:02:21,FR,,,Ads,True,2024-05-02 11:02:21
9,professional,2024-10-21 17:33:43,FR,,,organic,True,2025-04-07 17:33:43
10,student,2024-06-19 13:55:24,FR,7,marketing,ads,True,2024-07-02 13:55:24
11,student,2024-11-07 14:15:13,FR,1,marketing,ads,True,2025-04-06 14:15:13
12,student,2024-09-18 10:01:15,FR,7,engineering,school_event,True,2025-03-06 10:01:15
13,student,2024-07-28 17:43:27,FR,2,finance,organic,True,2024-11-19 17:43:27
14,student,2024-11-06 05:21:54,FR,2,marketing,Ads,True,2024-12-16 05:21:54
15,student,2024-03-11 14:40:27,FR,11,data,ads,True,2024-04-25 14:40:27
16,student,2024-11-23 21:37:55,FR,12,data,school_event,True,2025-03-27 21:37:55
17,student,2024-01-09 22:01:18,FR,10,data,organic,True,2024-04-10 22:01:18
18,professional,2024-12-03 16:36:42,FR,,,Ads,True,2025-06-10 16:36:42
19,student,2024-08-08 13:55:39,FR,5,finance,ads,True,2024-10-28 13:55:39
20,student,2025-01-29 07:31:19,FR,2,finance,Ads,True,2025-03-16 07:31:19
21,student,2024-01-01 10:39:39,FR,7,marketing,school_event,False,2024-04-07 10:39:39
22,student,2024-09-02 20:28:43,FR,7,data,Ads,True,2024-09-27 20:28:43
23,professional,2025-01-12 11:31:07,FR,,,ads,True,2025-06-02 11:31:07
24,student,2024-04-09 17:23:25,FR,2,engineering,Ads,True,2024-09-16 17:23:25
25,student,2024-06-13 12:12:16,FR,7,finance,organic,True,2024-12-06 12:12:16
26,student,2024-12-06 06:46:38,FR,1,engineering,ads,True,2024-12-27 06:46:38
27,professional,2024-06-27 17:38:58,FR,,,Ads,False,2024-12-30 17:38:58
28,student,2024-06-26 19:47:03,FR,11,data,ads,True,2024-07-19 19:47:03
29,student,2024-08-19 07:11:32,FR,3,finance,Ads,True,2025-01-17 07:11:32
30,student,2024-07-22 17:47:48,FR,7,engineering,Ads,False,2025-01-11 17:47:48
31,student,2024-11-25 00:04:40,FR,5,engineering,school_event,True,2024-12-13 00:04:40
32,student,2024-03-17 10:38:31,FR,7,data,school_event,True,2024-04-18 10:38:31
33,professional,2024-05-27 17:45:03,FR,,,school_event,True,2024-07-17 17:45:03
34,professional,2024-07-15 00:43:46,FR,,,school_event,True,2024-12-07 00:43:46
35,professional,2024-01-12 11:06:22,FR,,,ads,True,2024-03-17 11:06:22
36,professional,2025-01-12 05:00:24,FR,,,school_event,True,2025-04-29 05:00:24
37,student,2024-05-07 21:03:30,FR,7,engineering,ads,True,2024-07-18 21:03:30
38,student,2024-12-19 09:58:14,FR,2,marketing,school_event,True,2025-06-29 09:58:14
39,student,2025-01-13 00:12:45,FR,12,finance,Ads,True,2025-02-01 00:12:45
40,student,2024-02-17 08:19:53,FR,10,marketing,ads,False,2024-06-23 08:19:53
41,student,2024-05-02 06:45:31,FR,11,data,ads,True,2024-05-24 06:45:31
42,student,2024-07-13 16:31:06,FR,11,data,Ads,True,2024-07-28 16:31:06
43,student,2024-11-21 14:55:07,FR,7,marketing,organic,True,2025-05-28 14:55:07
44,professional,2024-08-06 07:24:48,FR,,,Ads,True,2024-10-26 07:24:48
45,student,2024-02-26 08:18:06,FR,11,data,school_event,True,2024-07-24 08:18:06
46,student,2024-02-26 21:40:43,FR,2,finance,organic,True,2024-05-30 21:40:43
47,student,2024-07-19 17:47:29,FR,2,marketing,Ads,True,2024-12-10 17:47:29
48,student,2024-01-07 01:49:59,FR,1,marketing,ads,True,2024-02-15 01:49:59
49,professional,2024-03-24 03:17:42,FR,,,Ads,True,2024-08-30 03:17:42
50,professional,2024-09-20 07:45:06,FR,,,organic,True,2024-11-28 07:45:06
51,student,2024-02-09 10:57:36,FR,5,data,school_event,True,2024-02-25 10:57:36
52,professional,2024-04-11 14:39:18,FR,,,organic,True,2024-08-07 14:39:18
53,student,2024-11-28 04:39:43,FR,5,data,ads,False,2025-05-28 04:39:43
54,student,2024-01-28 23:36:47,FR,4,marketing,Ads,True,2024-02-12 23:36:47
55,professional,2024-01-31 23:41:39,FR,,,organic,True,2024-04-08 23:41:39
56,student,2024-10-01 17:02:51,FR,10,engineering,Ads,True,2024-12-05 17:02:51
57,student,2024-05-17 12:29:43,FR,5,engineering,ads,True,2024-08-15 12:29:43
58,student,2024-11-15 18:53:22,FR,5,finance,organic,True,2025-05-18 18:53:22
59,professional,2024-01-31 01:52:44,FR,,,school_event,True,2024-06-01 01:52:44
60,professional,2024-06-25 18:41:14,FR,,,Ads,False,2024-08-18 18:41:14
61,student,2024-08-06 09:32:14,FR,7,marketing,organic,True,2024-11-21 09:32:14
